Product Name,Description,Sun Protection Rating,Price (USD)
CoolFlex Hiking Pants,Lightweight and stretchy pants with UPF 50+ protection.,UPF 50+,59.99
Urban Cotton Chinos,"Smart casual cotton chinos, breathable and versatile.",,39.99
SunShield Joggers,Quick-dry joggers designed for sunny trails with UPF 40.,UPF 40,49.5
Everyday Denim Jeans,"Durable denim jeans for daily wear, no sun protection.",,44.99
TrailGuard Cargo Pants,"Multiple pockets, durable fabric, UPF 30 rated.",UPF 30,54.0
RelaxFit Lounge Pants,"Soft fabric, ideal for indoor or light outdoor use.",,29.99
SolarBlock Trek Pants,Rugged trekking pants with reinforced knees and UPF 50+.,UPF 50+,64.75
BreezeLite Shorts,"Breathable lightweight shorts, limited sun protection.",,22.0
Relaxed Chinos,"Relaxed fabric, ideal for outdoor use.",,52.72
Lightweight Jeans,"Quick-dry fabric, ideal for active use.",UPF 30,63.85
Quick-dry Pants,"Stretch-fit fabric, ideal for active use.",UPF 45,56.67
Breathable Jeans,"Outdoor fabric, ideal for travel use.",UPF 30,56.7
Eco-friendly Joggers,"Quick-dry fabric, ideal for outdoor use.",UPF 40,46.67
Relaxed Jeans,"Quick-dry fabric, ideal for indoor use.",,35.5
Water-resistant Chinos,"Eco-friendly fabric, ideal for travel use.",UPF 30,42.19
Relaxed Trek Pants,"Tapered fabric, ideal for outdoor use.",,30.67
Water-resistant Shorts,"Stretch-fit fabric, ideal for indoor use.",UPF 50+,26.82
Relaxed Jeans,"Breathable fabric, ideal for travel use.",UPF 30,23.54
Stretch-fit Track Pants,"Urban fabric, ideal for active use.",UPF 50+,32.12
Slim-fit Pants,"Relaxed fabric, ideal for travel use.",UPF 30,61.11
Urban Chinos,"Eco-friendly fabric, ideal for outdoor use.",UPF 45,27.94
Lightweight Chinos,"Relaxed fabric, ideal for active use.",UPF 30,68.85
Quick-dry Trousers,"Breathable fabric, ideal for indoor use.",UPF 40,26.2
Tapered Joggers,"Stretch-fit fabric, ideal for indoor use.",UPF 50+,42.32
Urban Joggers,"Slim-fit fabric, ideal for outdoor use.",,44.92
Tapered Shorts,"Slim-fit fabric, ideal for active use.",,37.56
Relaxed Trek Pants,"Water-resistant fabric, ideal for outdoor use.",UPF 30,26.51
Eco-friendly Jeans,"Water-resistant fabric, ideal for outdoor use.",UPF 40,52.62
Water-resistant Lounge Pants,"Tapered fabric, ideal for indoor use.",UPF 45,22.51
Outdoor Trousers,"Cargo fabric, ideal for travel use.",,67.86
Tapered Trousers,"Relaxed fabric, ideal for indoor use.",UPF 30,22.83
Stretch-fit Joggers,"Tapered fabric, ideal for outdoor use.",UPF 50+,43.14
High-waist Shorts,"High-waist fabric, ideal for travel use.",UPF 40,29.19
Stretch-fit Joggers,"Cargo fabric, ideal for active use.",,29.1
Stretch-fit Trek Pants,"Quick-dry fabric, ideal for active use.",UPF 40,25.76
Tapered Track Pants,"Eco-friendly fabric, ideal for outdoor use.",UPF 40,50.89
Slim-fit Shorts,"Urban fabric, ideal for indoor use.",UPF 50+,58.47
Outdoor Joggers,"Outdoor fabric, ideal for active use.",UPF 45,56.32
Slim-fit Trek Pants,"Outdoor fabric, ideal for travel use.",,60.14
Slim-fit Lounge Pants,"Eco-friendly fabric, ideal for travel use.",UPF 45,37.09
Water-resistant Shorts,"Tapered fabric, ideal for active use.",UPF 30,61.56
Water-resistant Joggers,"Relaxed fabric, ideal for outdoor use.",UPF 40,45.17
Cargo Shorts,"Lightweight fabric, ideal for active use.",UPF 40,50.21
Quick-dry Jeans,"Slim-fit fabric, ideal for outdoor use.",UPF 50+,47.88
Slim-fit Trousers,"Eco-friendly fabric, ideal for active use.",,25.69
Cargo Shorts,"Breathable fabric, ideal for outdoor use.",UPF 30,57.23
Urban Chinos,"Breathable fabric, ideal for active use.",UPF 30,63.63
Outdoor Chinos,"Slim-fit fabric, ideal for outdoor use.",,60.82
Water-resistant Track Pants,"Quick-dry fabric, ideal for travel use.",,53.13
Relaxed Pants,"Relaxed fabric, ideal for active use.",UPF 40,36.63
High-waist Chinos,"Lightweight fabric, ideal for active use.",UPF 30,50.47
Lightweight Lounge Pants,"Lightweight fabric, ideal for indoor use.",UPF 45,63.22
Urban Shorts,"Lightweight fabric, ideal for indoor use.",UPF 45,38.54
Slim-fit Pants,"High-waist fabric, ideal for active use.",UPF 45,65.02
Relaxed Joggers,"Outdoor fabric, ideal for outdoor use.",UPF 45,69.16
Urban Chinos,"Stretch-fit fabric, ideal for outdoor use.",UPF 45,57.18
Tapered Trek Pants,"Urban fabric, ideal for outdoor use.",,43.5
High-waist Chinos,"High-waist fabric, ideal for active use.",,61.79
Urban Lounge Pants,"Eco-friendly fabric, ideal for indoor use.",UPF 40,43.22
Lightweight Track Pants,"Slim-fit fabric, ideal for active use.",,27.75
Water-resistant Pants,"Lightweight fabric, ideal for active use.",UPF 40,59.36
Relaxed Jeans,"Urban fabric, ideal for travel use.",UPF 30,47.57
Urban Jeans,"Stretch-fit fabric, ideal for indoor use.",UPF 40,24.5
Quick-dry Trousers,"Outdoor fabric, ideal for indoor use.",UPF 50+,52.0
